"domain","surface","action_or_data","classification","authority","projection_or_consumer","evidence","risk_or_required_action"
"SCHOOL","backend","tenant","REAL","t_tenant","t_tenant_brand_config","backend/app/models/tenant.py","前端不得内置租户品牌回退真值"
"SCHOOL","backend","org college-major-class","REAL","t_college|t_major|t_class","业务名称快照","backend/app/models/org.py","跨域写入只用稳定 ID"
"SCHOOL","backend","user-rbac","REAL","t_user|t_role|t_permission|t_user_role|t_role_permission","current-context","backend/app/models/rbac.py","前端角色矩阵只作展示"
"SCHOOL","backend","student profile","REAL","t_student_profile","t_cs_service_student","backend/app/models/student.py","禁止迎新重复造学生"
"SCHOOL","backend","student account link","REAL","t_student_account_link","端侧本人会话","backend/app/models/student_account_link.py","禁止姓名或手机号猜绑定"
"SCHOOL","backend","student stage event","REAL","t_student_stage_event","画像时间线","backend/app/models/student.py","finalize 应追加事件"
"SCHOOL","backend","workflow","REAL","t_workflow_definition|t_workflow_node_definition|t_workflow_instance|t_workflow_task","域状态","backend/app/models/approval.py","宿舍调宿后续接入而非重造"
"SCHOOL","backend","todo","REAL","t_unified_todo","四端待办","backend/app/models/approval.py","私有待办只能是适配"
"SCHOOL","backend","message","REAL","t_unified_message|t_message_campaign|t_message_delivery_job|t_message_event_outbox","端侧消息列表","backend/app/models/message.py","orientation notice task 不得扩张"
"SCHOOL","backend","file","REAL","t_file_object|t_file_asset|t_file_version|t_file_scan_record|t_file_binding","域附件引用","backend/app/models/file.py","file_name 字符串不是证据"
"SCHOOL","backend","import","REAL","t_shared_import_batch|t_import_job|t_import_row_error","校验结果","backend/app/models/shared_import_batch.py|data_exchange.py","统一两阶段导入边界"
"SCHOOL","backend","export","REAL","t_export_task|t_export_job","xlsx 文件","backend/app/models/audit.py|data_exchange.py","必须用途水印审计和 Data Scope"
"SCHOOL","backend","audit","REAL","t_security_audit_log","域 audit trail","backend/app/models/audit.py","域日志不得替代安全审计"
"SCHOOL","backend","role assignment scope","REAL_WITH_GAP","t_role_assignment_scope","affairs security context","backend/app/models/role_assignment_scope.py|core/affairs_security.py","持久化枚举缺 DORM_BUILDING；未知范围 fail closed"
"ORIENTATION","backend","batch CRUD","REAL","t_orientation_batch","teacher PC","backend/app/models/orientation.py|services/orientation_service.py","学生尚无 batch_id"
"ORIENTATION","backend","student process row","REAL_WITH_GAP","t_orientation_student","teacher/student four ends","backend/app/models/orientation.py","身份组织宿舍字段含重复真值"
"ORIENTATION","backend","student list/detail","REAL_WITH_GAP","t_orientation_student","teacher PC","backend/app/services/orientation_service.py","只有 tenant 过滤，无用户 Data Scope"
"ORIENTATION","backend","student create/update","REAL_WITH_GAP","t_orientation_student","teacher PC/import","backend/app/services/orientation_service.py","普通 update 可改 reportStatus 和宿舍字符串"
"ORIENTATION","backend","flow config","REAL_WITH_GAP","t_orientation_flow_config","steps_json","backend/app/services/orientation_service.py","无发布版本且读路径自动播种"
"ORIENTATION","backend","blocked resolution","REAL_BUT_INVALID_MODEL","过程事实","steps_json","backend/app/services/orientation_service.py","当前把阻断直接改 DONE；必须有 WAIVED 证据"
"ORIENTATION","backend","material evidence","REAL_WITH_GAP","file center","t_orientation_material","backend/app/models/orientation.py","file_name 不是文件 Authority"
"ORIENTATION","backend","green channel file binding","REAL","file center","green channel application","backend/app/services/orientation_service.py","复用现有绑定"
"ORIENTATION","backend","notice send","REAL_BUT_PARTIAL","unified message","t_orientation_notice_task","backend/app/services/orientation_service.py","INAPP 未真正投递；外部通道保持 DISABLED"
"ORIENTATION","backend","archive","REAL_BUT_PARTIAL","archive manifest/file/export/audit","t_orientation_archive","backend/app/services/orientation_service.py","当前只计数并标 DONE"
"ORIENTATION","backend","domain import validate","REAL","t_shared_import_batch","teacher PC","backend/app/services/domain_import_service.py","A1 接线；O1 补批次/稳定组织字段"
"ORIENTATION","backend","domain import confirm","REAL","t_shared_import_batch+t_orientation_student","teacher PC","backend/app/api/v1/import_export.py","单事务；禁止另造导入"
"ORIENTATION","backend","domain export","REAL_WITH_SECURITY_GAP","t_export_task","teacher PC/xlsx","backend/app/services/domain_export_service.py","当前列表调用未传用户 Data Scope"
"ORIENTATION","backend","teacher checkin","REAL_BUT_INVALID_MODEL","未来 signed checkin token","report status","backend/app/services/orientation_service.py","当前 admissionNo 当永久报到码"
"ORIENTATION","teacher_pc","student list/detail/edit","REAL","orientation API","Vue views","frontend/src/views/admin/orientation","更新边界需后端收紧"
"ORIENTATION","teacher_pc","batch/flow/exception/dashboard","REAL","orientation API","Vue views","frontend/src/views/admin/orientation","dashboard 有硬编码批次名称/日期"
"ORIENTATION","teacher_pc","import validate/confirm","DISABLED","domain import API","orientation.api.js","frontend/src/modules/orientation/api/orientation.api.js","后端已 REAL；A1 去 501 并接线"
"ORIENTATION","teacher_pc","export xlsx","DISABLED","domain export API","orientation.api.js","frontend/src/modules/orientation/api/orientation.api.js","后端已 REAL；先修 scope 再开放"
"ORIENTATION","teacher_pc","qualification verdict","REAL_BUT_CLIENT_AUTHORITY","未来服务端 qualification","qualification view","frontend/src/views/admin/orientation/OrientationQualificationView.vue","前端不得裁决资格"
"ORIENTATION","teacher_pc","local brand role scope permissions","REAL_BUT_DUPLICATE","backend current-context","orientation.meta.js","frontend/src/modules/orientation/constants/orientation.meta.js","A1 删除本地 Authority 回退"
"ORIENTATION","student_pc","my orientation","REAL","account link+t_orientation_student","portal view","student-portal/src/services/portalApi.js","必须本人且 fail closed"
"ORIENTATION","student_pc","collect info","REAL","t_orientation_student","portal view","student-portal/src/services/portalApi.js","后续由事实投影步骤"
"ORIENTATION","student_pc","green channel","REAL","green channel+file center","portal view","student-portal/src/services/portalApi.js","文件必须走中心"
"ORIENTATION","student_pc","print","REAL","orientation API","portal view","student-portal/src/services/portalApi.js","不得伪造成功"
"ORIENTATION","student_pc","signed report QR","NOT_APPLICABLE","future checkin token","none","current exact head","O3 前不存在"
"ORIENTATION","student_miniapp","overview/collect/green channel","REAL_WITH_PROD_GUARD_GAP","orientation API","miniapp pages","miniapp/src/services/studentApi.js","生产禁止业务 mock fallback"
"ORIENTATION","student_miniapp","report code display","REAL_BUT_INVALID_MODEL","future checkin token","reportCode projection","miniapp/src/pages/student/orientation/code/index.vue","当前显示 admissionNo"
"ORIENTATION","teacher_miniapp","scan/checkin","REAL_BUT_INVALID_MODEL","future checkin token","teacher page","miniapp/src/services/realApi.js","当前提交 admissionNo；O3 改签名 token"
"ORIENTATION","all","no-seed Golden Journey","NOT_APPLICABLE","N/A","tests","backend/tests/test_orientation*.py","当前未覆盖"
"DORM","backend","building-room-bed","REAL","t_affairs_dorm_building|room|bed","all dorm consumers","backend/app/models/affairs_dorm.py","复用现有房源 Authority"
"DORM","backend","current occupancy","REAL","t_affairs_dorm_bed.student_id/status/version","t_cs_dorm_record","backend/app/services/affairs_dorm_reliability_service.py","projection 必须可重建"
"DORM","backend","stay history","NOT_APPLICABLE","future t_affairs_dorm_stay","none","current exact head","D2 必须新增"
"DORM","backend","allocation batch","NOT_APPLICABLE","future allocation batch/item","none","current exact head","D2/D3 必须新增"
